# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/1702.1.all.q/genomes/tb927_5/tb927_5.gtf" "-o" "/tmp/1702.1.all.q/B_tot_2/counts.txt" "/tmp/1702.1.all.q/B_tot_2/B_tot_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/1702.1.all.q/B_tot_2/B_tot_2_sorted.bam
Tb927.5.5410	Tb927_05_v5.1	1681440	1682828	+	1389	1
Tb927.5.5420	Tb927_05_v5.1	1693597	1694949	-	1353	0
Tb927.5.5430	Tb927_05_v5.1	1697631	1699160	-	1530	0
Tb927.5.5440	Tb927_05_v5.1	1701514	1702952	-	1439	0
Tb927.5.5450	Tb927_05_v5.1	1705006	1712562	-	7557	11
Tb927.5.5460	Tb927_05_v5.1	1713941	1715419	-	1479	0
Tb927.5.5470	Tb927_05_v5.1	1716535	1717869	-	1335	0
Tb927.5.5480	Tb927_05_v5.1	1719965	1721488	-	1524	0
Tb927.5.5490	Tb927_05_v5.1	1724309	1725643	-	1335	0
Tb927.5.5500	Tb927_05_v5.1	1727991	1729424	-	1434	11
Tb927.5.5510	Tb927_05_v5.1	1731932	1733473	-	1542	0
Tb927.5.5520	Tb927_05_v5.1	1735541	1737118	-	1578	0
Tb927.5.5530	Tb927_05_v5.1	1738208	1739825	-	1618	4
Tb927.5.5540	Tb927_05_v5.1	1741682	1743115	-	1434	9
Tb927.5.5550	Tb927_05_v5.1	1744795	1746634	-	1840	6
Tb927.5.5560	Tb927_05_v5.1	1748375	1749835	-	1461	11
Tb927.5.5570	Tb927_05_v5.1	1751303	1752808	-	1506	1
Tb927.5.5580	Tb927_05_v5.1	1754040	1758955	-	4916	29
Tb927.5.5590	Tb927_05_v5.1	1758915	1766034	+	7120	26
Tb927.5.5600	Tb927_05_v5.1	1768125	1769603	+	1479	0
Tb927.5.5610	Tb927_05_v5.1	1771888	1773315	+	1428	0
Tb927.5.5620	Tb927_05_v5.1	1775824	1777293	+	1470	6
Tb927.5.5630	Tb927_05_v5.1	1778506	1780110	+	1605	1
Tb927.5.5640	Tb927_05_v5.1	1782018	1783574	+	1557	0
Tb927.5.5650	Tb927_05_v5.1	1785357	1786463	+	1107	0
Tb927.5.5660	Tb927_05_v5.1	1787674	1789201	+	1528	0
Tb927.5.5670	Tb927_05_v5.1	1791306	1792811	+	1506	0
Tb927.5.5680	Tb927_05_v5.1	1795808	1797312	+	1505	0
Tb927.5.5690	Tb927_05_v5.1	1798985	1801143	+	2159	4
Tb927.9.100	Tb927_09_v5.1	4758	6748	-	1991	0
Tb927.9.120	Tb927_09_v5.1	7402	8694	-	1293	0
Tb927.9.130	Tb927_09_v5.1	10358	11368	-	1011	0
Tb927.9.150	Tb927_09_v5.1	11831	13648	-	1818	3
Tb927.9.160	Tb927_09_v5.1	15039	16658	-	1620	0
Tb927.9.170	Tb927_09_v5.1	19127	24634	+	5508	76
Tb927.9.180	Tb927_09_v5.1	26720	27304	+	585	10
Tb927.9.190	Tb927_09_v5.1	27772	29271	+	1500	0
Tb927.9.200	Tb927_09_v5.1	30060	30482	+	423	0
Tb927.9.210	Tb927_09_v5.1	33178	34744	+	1567	0
Tb927.9.220	Tb927_09_v5.1	36090	37433	+	1344	0
Tb927.9.230	Tb927_09_v5.1	39464	41603	+	2140	2
Tb927.9.240	Tb927_09_v5.1	43313	44638	+	1326	1
Tb927.9.250	Tb927_09_v5.1	46465	47922	+	1458	0
Tb927.9.260	Tb927_09_v5.1	49031	54319	+	5289	46
Tb927.9.270	Tb927_09_v5.1	55119	56666	+	1548	3
Tb927.9.280	Tb927_09_v5.1	58254	58740	+	487	10
Tb927.9.290	Tb927_09_v5.1	58895	61739	+	2845	42
Tb927.9.300	Tb927_09_v5.1	62851	64203	+	1353	0
Tb927.9.310	Tb927_09_v5.1	65552	67069	+	1518	0
Tb927.9.320	Tb927_09_v5.1	68440	69249	+	810	0
Tb927.9.330	Tb927_09_v5.1	71270	72816	+	1547	0
Tb927.9.340	Tb927_09_v5.1	73874	75317	+	1444	0
Tb927.9.350	Tb927_09_v5.1	76605	78081	+	1477	212
Tb927.9.360	Tb927_09_v5.1	79801	86882	+	7082	94
Tb927.9.370	Tb927_09_v5.1	88591	89879	+	1289	1
Tb927.9.380	Tb927_09_v5.1	91237	91953	+	717	3
Tb927.9.390	Tb927_09_v5.1	92470	93783	+	1314	0
Tb927.9.400	Tb927_09_v5.1	95130	97072	+	1943	12
Tb927.9.410	Tb927_09_v5.1	97488	99021	+	1534	0
Tb927.9.420	Tb927_09_v5.1	100932	102448	+	1517	1
Tb927.9.430	Tb927_09_v5.1	104417	105839	+	1423	0
Tb927.9.440	Tb927_09_v5.1	107030	109182	+	2153	0
Tb927.9.450	Tb927_09_v5.1	110240	111719	+	1480	1
Tb927.9.460	Tb927_09_v5.1	111766	113223	+	1458	0
Tb927.9.470	Tb927_09_v5.1	115047	116390	+	1344	1
Tb927.9.480	Tb927_09_v5.1	116448	116624	+	177	1
Tb927.9.490	Tb927_09_v5.1	116799	118357	+	1559	1
Tb927.9.500	Tb927_09_v5.1	120035	121517	+	1483	0
Tb927.9.510	Tb927_09_v5.1	123603	125263	+	1661	0
Tb927.9.520	Tb927_09_v5.1	127471	128862	+	1392	0
Tb927.9.540	Tb927_09_v5.1	131147	132507	+	1361	0
Tb927.9.550	Tb927_09_v5.1	133523	133654	+	132	0
Tb927.9.560	Tb927_09_v5.1	135143	136147	+	1005	0
Tb927.9.570	Tb927_09_v5.1	136702	138222	+	1521	0
Tb927.9.580	Tb927_09_v5.1	139203	140801	+	1599	1
Tb927.9.590	Tb927_09_v5.1	142359	142575	+	217	0
Tb927.9.600	Tb927_09_v5.1	144167	145640	+	1474	0
Tb927.9.610	Tb927_09_v5.1	146937	147119	+	183	0
Tb927.9.620	Tb927_09_v5.1	148042	148742	+	701	2
Tb927.9.630	Tb927_09_v5.1	149227	150730	+	1504	0
Tb927.9.640	Tb927_09_v5.1	152527	154125	+	1599	0
Tb927.9.650	Tb927_09_v5.1	156359	158491	+	2133	103
Tb927.9.660	Tb927_09_v5.1	160736	164174	-	3439	1709
Tb927.9.670	Tb927_09_v5.1	164843	165276	-	434	457
Tb927.9.680	Tb927_09_v5.1	165560	167198	-	1639	1998
Tb927.9.690	Tb927_09_v5.1	168199	169255	-	1057	44
Tb927.9.700	Tb927_09_v5.1	169757	170755	-	999	1188
Tb927.9.710	Tb927_09_v5.1	171362	172003	+	642	407
Tb927.9.715	Tb927_09_v5.1	172754	172914	-	161	189
Tb927.9.720	Tb927_09_v5.1	179436	179889	+	454	1098
Tb927.9.730	Tb927_09_v5.1	179941	180294	+	354	1683
Tb927.9.740	Tb927_09_v5.1	182250	182748	+	499	1511
Tb927.9.760	Tb927_09_v5.1	185243	185703	+	461	185
Tb927.9.770	Tb927_09_v5.1	185887	186062	-	176	102
Tb927.9.780	Tb927_09_v5.1	186435	187148	+	714	226
Tb927.9.790	Tb927_09_v5.1	188075	188422	+	348	298
Tb927.9.800	Tb927_09_v5.1	189630	190769	+	1140	2
Tb927.9.810	Tb927_09_v5.1	190928	192280	+	1353	0
Tb927.9.820	Tb927_09_v5.1	193524	195704	+	2181	0
Tb927.9.830	Tb927_09_v5.1	197362	198856	+	1495	0
Tb927.9.840	Tb927_09_v5.1	200667	201395	+	729	0
Tb927.9.850	Tb927_09_v5.1	203889	204898	+	1010	0
Tb927.9.860	Tb927_09_v5.1	210693	219838	+	9146	105
Tb927.9.870	Tb927_09_v5.1	222026	222454	+	429	1
Tb927.9.880	Tb927_09_v5.1	227472	227567	+	96	0
Tb927.9.890	Tb927_09_v5.1	230131	232255	+	2125	0
Tb927.9.900	Tb927_09_v5.1	234605	236086	+	1482	0
Tb927.9.910	Tb927_09_v5.1	237232	238472	+	1241	2
Tb927.9.920	Tb927_09_v5.1	238581	239162	+	582	0
Tb927.9.930	Tb927_09_v5.1	240959	241810	+	852	0
Tb927.9.940	Tb927_09_v5.1	244118	245377	+	1260	0
Tb927.9.950	Tb927_09_v5.1	246897	247470	+	574	14
Tb927.9.960	Tb927_09_v5.1	249824	250879	+	1056	9
Tb927.9.970	Tb927_09_v5.1	255154	256261	+	1108	13
Tb927.9.990	Tb927_09_v5.1	258164	259622	+	1459	0
Tb927.9.1000	Tb927_09_v5.1	260888	262270	+	1383	1
Tb927.9.1010	Tb927_09_v5.1	263865	265123	+	1259	1
Tb927.9.1030	Tb927_09_v5.1	266604	268059	+	1456	0
Tb927.9.1040	Tb927_09_v5.1	268656	268887	+	232	0
Tb927.9.1050	Tb927_09_v5.1	270770	272275	+	1506	1
Tb927.9.1070	Tb927_09_v5.1	273463	275014	+	1552	0
Tb927.9.1080	Tb927_09_v5.1	275810	276140	+	331	0
Tb927.9.1090	Tb927_09_v5.1	277167	278012	+	846	2
Tb927.9.1100	Tb927_09_v5.1	279393	281464	+	2072	2
Tb927.9.1110	Tb927_09_v5.1	281609	283069	+	1461	0
Tb927.9.1120	Tb927_09_v5.1	284348	284683	+	336	0
Tb927.9.1130	Tb927_09_v5.1	285556	286908	+	1353	0
Tb927.9.1140	Tb927_09_v5.1	288834	290254	+	1421	0
Tb927.9.1150	Tb927_09_v5.1	292247	292804	+	558	0
Tb927.9.1160	Tb927_09_v5.1	293270	293416	+	147	0
Tb927.9.1170	Tb927_09_v5.1	295690	297149	+	1460	0
Tb927.9.1180	Tb927_09_v5.1	298628	300594	+	1967	0
Tb927.9.1190	Tb927_09_v5.1	301317	306283	+	4967	88
Tb927.9.1200	Tb927_09_v5.1	308170	309365	+	1196	0
Tb927.9.1210	Tb927_09_v5.1	310591	311050	+	460	0
Tb927.9.1220	Tb927_09_v5.1	312443	312643	+	201	1
Tb927.9.1230	Tb927_09_v5.1	313768	314955	+	1188	0
Tb927.9.1240	Tb927_09_v5.1	317272	318097	+	826	2
Tb927.9.1250	Tb927_09_v5.1	319053	320675	+	1623	0
Tb927.9.1280	Tb927_09_v5.1	327682	329947	-	2266	498
Tb927.9.1340	Tb927_09_v5.1	336035	338627	-	2593	3488
Tb927.9.1350	Tb927_09_v5.1	339079	340763	-	1685	3406
Tb927.9.1360	Tb927_09_v5.1	340977	342300	-	1324	1219
Tb927.9.1365	Tb927_09_v5.1	342574	342817	-	244	424
Tb927.9.1380	Tb927_09_v5.1	343679	344898	-	1220	2287
Tb927.9.1390	Tb927_09_v5.1	345294	345674	-	381	1241
Tb927.9.1400	Tb927_09_v5.1	345924	347315	-	1392	2019
Tb927.9.1410	Tb927_09_v5.1	347440	349477	-	2038	2722
Tb927.9.1420	Tb927_09_v5.1	349937	350873	-	937	1626
Tb927.9.1440	Tb927_09_v5.1	352475	355102	-	2628	9229
Tb927.9.1470	Tb927_09_v5.1	355267	355870	-	604	1066
Tb927.9.1500	Tb927_09_v5.1	355989	357769	-	1781	3628
Tb927.9.1510	Tb927_09_v5.1	358346	360250	-	1905	2039
Tb927.9.1520	Tb927_09_v5.1	361294	361750	-	457	1721
Tb927.9.1530	Tb927_09_v5.1	362122	364387	-	2266	4215
Tb927.9.1540	Tb927_09_v5.1	364533	366641	-	2109	2513
Tb927.9.1560	Tb927_09_v5.1	366848	368598	-	1751	2474
Tb927.9.1570	Tb927_09_v5.1	370168	371644	-	1477	797
Tb927.9.1590	Tb927_09_v5.1	372145	372894	-	750	880
Tb927.9.1600	Tb927_09_v5.1	373300	379210	-	5911	4497
Tb927.9.1610	Tb927_09_v5.1	379358	380608	-	1251	2396
Tb927.9.1640	Tb927_09_v5.1	380740	381400	-	661	623
Tb927.9.1650	Tb927_09_v5.1	381549	382803	-	1255	1080
Tb927.9.1660	Tb927_09_v5.1	383078	383878	-	801	1079
Tb927.9.1670	Tb927_09_v5.1	384482	386604	-	2123	852
Tb927.9.1680	Tb927_09_v5.1	387107	387957	-	851	2241
Tb927.9.1700	Tb927_09_v5.1	388870	390687	-	1818	2314
Tb927.9.1710	Tb927_09_v5.1	390718	392866	-	2149	2553
Tb927.9.1720	Tb927_09_v5.1	393032	394010	-	979	1877
Tb927.9.1730	Tb927_09_v5.1	394149	396984	-	2836	2174
Tb927.9.1750	Tb927_09_v5.1	398215	412023	-	13809	7428
Tb927.9.1770	Tb927_09_v5.1	412833	422145	-	9313	5865
Tb927.9.1780	Tb927_09_v5.1	423748	425654	-	1907	3397
Tb927.9.1790	Tb927_09_v5.1	425962	426715	-	754	1983
Tb927.9.1810	Tb927_09_v5.1	426841	427325	-	485	5411
Tb927.9.1850	Tb927_09_v5.1	427506	428018	-	513	6030
Tb927.9.1880	Tb927_09_v5.1	428361	430380	-	2020	5295
Tb927.9.1910	Tb927_09_v5.1	430506	431957	-	1452	1876
Tb927.9.1920	Tb927_09_v5.1	432131	433152	-	1022	1587
Tb927.9.1940	Tb927_09_v5.1;Tb927_09_v5.1	433506;433506	436869;436902	-;-	3397	5486
Tb927.9.1950	Tb927_09_v5.1	437022	438257	-	1236	1654
Tb927.9.1960	Tb927_09_v5.1	438943	439937	-	995	2080
Tb927.9.1970	Tb927_09_v5.1	445802	447733	-	1932	3154
Tb927.9.1980	Tb927_09_v5.1	447863	450612	-	2750	4856
Tb927.9.2010	Tb927_09_v5.1	452652	454569	-	1918	3351
Tb9.NT.6	Tb927_09_v5.1	454689	454961	-	273	89
Tb927.9.2020	Tb927_09_v5.1	455117	455549	-	433	3398
Tb927.9.2030	Tb927_09_v5.1	455761	458845	-	3085	1789
Tb927.9.2050	Tb927_09_v5.1	459040	460859	-	1820	1948
Tb927.9.2055	Tb927_09_v5.1	461198	461561	-	364	868
Tb927.9.2060	Tb927_09_v5.1	462248	463342	-	1095	1705
Tb927.9.2070	Tb927_09_v5.1;Tb927_09_v5.1	464283;464283	465641;466630	-;-	2348	3366
Tb927.9.2075	Tb927_09_v5.1	468519	477050	-	8532	8225
Tb927.9.2080	Tb927_09_v5.1	471073	474321	+	3249	3622
Tb927.9.2100	Tb927_09_v5.1	477537	479423	-	1887	2840
Tb927.9.2110	Tb927_09_v5.1	479636	480104	-	469	923
Tb927.9.2120	Tb927_09_v5.1	480227	481438	-	1212	1540
Tb927.9.2130	Tb927_09_v5.1;Tb927_09_v5.1	481675;481675	482975;486275	-;-	4601	7517
Tb927.9.2140	Tb927_09_v5.1	486402	490632	-	4231	2853
Tb927.9.2160	Tb927_09_v5.1	491114	492765	-	1652	3625
Tb927.9.2210	Tb927_09_v5.1	493084	494400	-	1317	2096
Tb927.9.2220	Tb927_09_v5.1	494576	496957	-	2382	3237
Tb927.9.2240	Tb927_09_v5.1	497098	501735	-	4638	3998
Tb927.9.2250	Tb927_09_v5.1	502386	503764	-	1379	2286
Tb927.9.2260	Tb927_09_v5.1	503988	505898	-	1911	3197
Tb927.9.2270	Tb927_09_v5.1	506070	508529	-	2460	3872
Tb927.9.2280	Tb927_09_v5.1	508630	509115	-	486	1200
Tb927.9.2290	Tb927_09_v5.1	509505	510387	-	883	1331
Tb927.9.2310	Tb927_09_v5.1	511127	512728	-	1602	1687
Tb927.9.2320	Tb927_09_v5.1	514065	515219	-	1155	1346
Tb927.9.2340	Tb927_09_v5.1	515426	515513	-	88	62
Tb927.9.2350	Tb927_09_v5.1	515807	519028	-	3222	5178
Tb927.9.2380	Tb927_09_v5.1	519263	519350	-	88	81
Tb927.9.2390	Tb927_09_v5.1	519987	521286	-	1300	1615
Tb927.9.2400	Tb927_09_v5.1	522081	522728	-	648	1412
Tb927.9.2420	Tb927_09_v5.1	523546	524230	-	685	788
Tb927.9.2450	Tb927_09_v5.1	525736	527188	-	1453	1260
Tb927.9.2470	Tb927_09_v5.1	527920	531219	-	3300	23476
Tb927.9.2490	Tb927_09_v5.1	531331	533952	-	2622	3417
Tb927.9.2520	Tb927_09_v5.1	534064	560380	-	26317	2340
Tb927.9.2550	Tb927_09_v5.1	562606	566014	-	3409	4106
Tb927.9.2560	Tb927_09_v5.1	566109	568718	-	2610	2892
Tb927.9.2580	Tb927_09_v5.1	569010	570726	-	1717	4040
Tb927.9.2590	Tb927_09_v5.1	571533	575541	-	4009	5061
Tb927.9.2600	Tb927_09_v5.1	576424	578084	-	1661	2463
Tb927.9.2620	Tb927_09_v5.1	578209	580539	-	2331	3813
Tb927.9.2630	Tb927_09_v5.1	581191	587353	-	6163	4724
Tb927.9.2650	Tb927_09_v5.1	587514	590355	-	2842	4377
Tb927.9.2670	Tb927_09_v5.1	590542	592180	-	1639	2922
Tb927.9.2700	Tb927_09_v5.1	593200	594896	-	1697	1568
Tb927.9.2730	Tb927_09_v5.1	595336	600771	-	5436	4711
Tb927.9.2760	Tb927_09_v5.1	602469	604652	-	2184	3323
Tb927.9.2780	Tb927_09_v5.1	604777	606521	-	1745	2119
Tb927.9.2800	Tb927_09_v5.1	607135	608468	-	1334	1502
Tb927.9.2860	Tb927_09_v5.1	609472	610788	-	1317	180
Tb927.9.2811	Tb927_09_v5.1	612533	613795	-	1263	617
Tb927.9.2815	Tb927_09_v5.1	615554	616888	-	1335	349
Tb927.9.2840	Tb927_09_v5.1	618630	619841	-	1212	54
Tb927.9.2845	Tb927_09_v5.1	621584	622918	-	1335	325
Tb927.9.2853	Tb927_09_v5.1	623838	626003	-	2166	399
Tb927.9.2855	Tb927_09_v5.1	627747	629099	-	1353	508
Tb927.9.2861	Tb927_09_v5.1	630706	632022	-	1317	428
Tb927.9.2865	Tb927_09_v5.1	633766	635064	-	1299	98
Tb927.9.2871	Tb927_09_v5.1	636805	638103	-	1299	175
Tb927.9.2875	Tb927_09_v5.1	639844	641232	-	1389	809
Tb927.9.2881	Tb927_09_v5.1	642974	644236	-	1263	112
Tb927.9.2885	Tb927_09_v5.1	645989	648454	-	2466	887
Tb927.9.2891	Tb927_09_v5.1	649310	653150	-	3841	9966
Tb927.9.2900	Tb927_09_v5.1	653905	662404	-	8500	3446
Tb927.9.2910	Tb927_09_v5.1	662685	663322	-	638	1008
Tb927.9.2940	Tb927_09_v5.1	664324	666521	-	2198	3568
Tb09_snoRNA_0001	Tb927_09_v5.1	666600	666719	-	120	92
Tb927_09_v4.snoRNA.0054	Tb927_09_v5.1	666703	666810	-	108	147
Tb927_09_v4.snoRNA.0046	Tb927_09_v5.1	666850	666981	-	132	340
Tb927_09_v4.snoRNA.0107	Tb927_09_v5.1	666978	667043	-	66	311
Tb09_snoRNA_0005	Tb927_09_v5.1	667110	667229	-	120	577
Tb927_09_v4.snoRNA.0055	Tb927_09_v5.1	667213	667320	-	108	507
Tb927_09_v4.snoRNA.0047	Tb927_09_v5.1	667360	667491	-	132	262
Tb09_snoRNA_0008	Tb927_09_v5.1	667528	667569	-	42	126
Tb927.9.2980	Tb927_09_v5.1	668204	668504	-	301	646
Tb927.9.2990	Tb927_09_v5.1	669184	669912	-	729	1872
Tb927.9.3000	Tb927_09_v5.1	670740	671319	-	580	732
Tb927.9.3010	Tb927_09_v5.1	671977	672298	-	322	729
Tb927.9.3030	Tb927_09_v5.1	672636	673787	-	1152	1697
Tb927.9.3080	Tb927_09_v5.1	674703	676078	-	1376	1593
Tb927.9.3100	Tb927_09_v5.1	676242	677813	-	1572	3493
Tb927.9.3120	Tb927_09_v5.1	678235	681374	-	3140	2787
Tb927.9.3130	Tb927_09_v5.1	681906	683620	-	1715	2478
Tb927.9.3170	Tb927_09_v5.1	685482	686312	-	831	867
Tb927.9.3260	Tb927_09_v5.1	690645	693083	+	2439	662
Tb927.9.3280	Tb927_09_v5.1	693330	694483	+	1154	2122
Tb927.9.3290	Tb927_09_v5.1	696249	696760	+	512	1901
Tb927.9.3340	Tb927_09_v5.1	696902	697411	+	510	637
Tb927.9.3350	Tb927_09_v5.1	697568	698945	+	1378	2047
Tb927.9.3360	Tb927_09_v5.1	699095	700262	+	1168	2054
Tb927.9.3370	Tb927_09_v5.1	700433	701215	+	783	1609
Tb927.9.3390	Tb927_09_v5.1	701338	702886	+	1549	2421
Tb927.9.3400	Tb927_09_v5.1	702598	707350	+	4753	7154
Tb927.9.3410	Tb927_09_v5.1	707499	708049	+	551	998
Tb927.9.3440	Tb927_09_v5.1	708348	709448	+	1101	2352
Tb927.9.3460	Tb927_09_v5.1	710145	712556	+	2412	2701
Tb927.9.3470	Tb927_09_v5.1	712833	713814	+	982	1392
Tb927.9.3480	Tb927_09_v5.1	713960	714708	+	749	981
Tb927.9.3490	Tb927_09_v5.1	714911	717388	+	2478	3722
Tb927.9.3530	Tb927_09_v5.1	717555	718021	+	467	708
Tb927.9.3540	Tb927_09_v5.1	718165	718658	+	494	1014
Tb927.9.3550	Tb927_09_v5.1	718803	719170	+	368	1139
Tb927.9.3560	Tb927_09_v5.1	719710	720990	+	1281	1553
Tb927.9.3580	Tb927_09_v5.1	721178	723131	+	1954	1804
Tb927.9.3590	Tb927_09_v5.1	723532	724421	+	890	965
Tb927.9.3600	Tb927_09_v5.1	724543	725504	+	962	1652
Tb927.9.3620	Tb927_09_v5.1	725914	726646	+	733	624
Tb927.9.3630	Tb927_09_v5.1	727069	729270	+	2202	1695
Tb927.9.3640	Tb927_09_v5.1	729418	730703	+	1286	2605
Tb927.9.3650	Tb927_09_v5.1	730794	732907	+	2114	3331
Tb927.9.3670	Tb927_09_v5.1	733340	735038	+	1699	2626
Tb927.9.3680	Tb927_09_v5.1	735320	747457	+	12138	8678
Tb927.9.3750	Tb927_09_v5.1	740139	748495	+	8357	1654
Tb927.9.3760	Tb927_09_v5.1	748563	750183	+	1621	1872
Tb927.9.3770	Tb927_09_v5.1	750325	751059	+	735	981
Tb927.9.3780	Tb927_09_v5.1	751235	751856	+	622	1643
Tb927.9.3800	Tb927_09_v5.1	752696	754594	+	1899	3278
Tb927.9.3820	Tb927_09_v5.1	754953	755855	+	903	1784
Tb927.9.3840	Tb927_09_v5.1	756224	756712	+	489	663
Tb927.9.3850	Tb927_09_v5.1	756892	758029	+	1138	2489
Tb927.9.3860	Tb927_09_v5.1	758180	760795	+	2616	3362
Tb927.9.3870	Tb927_09_v5.1	760949	763100	+	2152	1862
Tb927.9.3880	Tb927_09_v5.1	763472	764636	+	1165	2213
Tb927.9.3920	Tb927_09_v5.1	764754	765489	+	736	6606
Tb927.9.3930	Tb927_09_v5.1	765592	767589	+	1998	2439
Tb927.9.3970	Tb927_09_v5.1	768812	769767	+	956	2079
Tb927.9.3990	Tb927_09_v5.1	771241	771922	+	682	10354
Tb927.9.4000	Tb927_09_v5.1	772917	774076	+	1160	2673
Tb927.9.4040	Tb927_09_v5.1	775299	776254	+	956	1543
Tb927.9.4050	Tb927_09_v5.1	776450	779547	+	3098	4381
Tb927.9.4080	Tb927_09_v5.1	780992	785784	+	4793	478
Tb927.9.4130	Tb927_09_v5.1	785533	789953	+	4421	858
Tb927.9.4190	Tb927_09_v5.1	790661	794074	+	3414	5014
Tb927.9.4200	Tb927_09_v5.1	793285	796522	+	3238	7528
Tb927.9.4207	Tb927_09_v5.1	797229	797541	+	313	130
Tb927.9.4210	Tb927_09_v5.1	797662	800028	+	2367	5560
Tb927.9.4227	Tb927_09_v5.1	800728	801040	+	313	121
Tb927.9.4230	Tb927_09_v5.1	801161	804382	+	3222	4545
Tb927.9.4250	Tb927_09_v5.1	804509	805917	+	1409	2939
Tb927.9.4290	Tb927_09_v5.1	806752	807713	+	962	1636
Tb927.9.4300	Tb927_09_v5.1	808036	809973	+	1938	3274
Tb927.9.4310	Tb927_09_v5.1	810197	814153	+	3957	2464
Tb927.9.4350	Tb927_09_v5.1	814040	817377	+	3338	3906
Tb927.9.4360	Tb927_09_v5.1	817507	819351	+	1845	2765
Tb927.9.4370	Tb927_09_v5.1	819451	824114	+	4664	4894
Tb927.9.4390	Tb927_09_v5.1	824270	825851	+	1582	3350
Tb927.9.4420	Tb927_09_v5.1	826089	827375	+	1287	2433
Tb927.9.4440	Tb927_09_v5.1	828021	829820	+	1800	2243
Tb927.9.4450	Tb927_09_v5.1	829926	831931	+	2006	2405
Tb927.9.4500	Tb927_09_v5.1	834029	836852	+	2824	10934
Tb927.9.4520	Tb927_09_v5.1	837281	838968	+	1688	3021
Tb927.9.4530	Tb927_09_v5.1	839600	842856	+	3257	4684
Tb927.9.4550	Tb927_09_v5.1	843197	844370	+	1174	664
Tb927.9.4560	Tb927_09_v5.1	844684	847797	+	3114	4600
Tb927.9.4570	Tb927_09_v5.1	848830	849620	+	791	809
Tb927.9.4620	Tb927_09_v5.1	850845	852424	+	1580	2848
Tb927.9.4630	Tb927_09_v5.1	852796	856879	+	4084	4885
Tb927.9.4640	Tb927_09_v5.1	857058	862054	+	4997	3329
Tb927.9.4660	Tb927_09_v5.1	862610	864505	+	1896	2728
Tb927.9.4680	Tb927_09_v5.1	864634	866164	+	1531	12412
Tb927.9.4750	Tb927_09_v5.1	866988	867413	+	426	6437
Tb927.9.4755	Tb927_09_v5.1	867881	868746	+	866	758
Tb927.9.4760	Tb927_09_v5.1	868913	870056	+	1144	1671
Tb927.9.4810	Tb927_09_v5.1	872068	873054	+	987	1308
Tb927.9.4820	Tb927_09_v5.1	873325	876015	+	2691	2822
Tb927.9.4840	Tb927_09_v5.1	876284	878842	+	2559	249
Tb927.9.4850	Tb927_09_v5.1	877412	880468	-	3057	1973
Tb927.9.4900	Tb927_09_v5.1	887831	891698	+	3868	5808
Tb927.9.4910	Tb927_09_v5.1	892148	893472	+	1325	2890
Tb927.9.4920	Tb927_09_v5.1	893619	894317	+	699	789
Tb927.9.4930	Tb927_09_v5.1	894450	895996	+	1547	2986
Tb927.9.4940	Tb927_09_v5.1	896118	897292	+	1175	2058
Tb927.9.4950	Tb927_09_v5.1	897434	898806	+	1373	2726
Tb927.9.4960	Tb927_09_v5.1	898917	899372	+	456	7989
Tb927.9.4990	Tb927_09_v5.1	899704	900502	+	799	1350
Tb927.9.5000	Tb927_09_v5.1	900568	901583	+	1016	1628
Tb927.9.5020	Tb927_09_v5.1	901792	903301	+	1510	1586
Tb927.9.5040	Tb927_09_v5.1	903439	908393	+	4955	5107
Tb927.9.5100	Tb927_09_v5.1	908535	911464	+	2930	4151
Tb927.9.5150	Tb927_09_v5.1	912889	913368	+	480	2684
Tb927.9.5170	Tb927_09_v5.1	914289	916291	+	2003	2543
Tb927.9.5190	Tb927_09_v5.1	916677	918365	+	1689	4529
Tb927.9.5210	Tb927_09_v5.1	918571	920461	+	1891	5476
Tb927.9.5220	Tb927_09_v5.1	920586	920998	+	413	787
Tb927.9.5240	Tb927_09_v5.1	922226	925346	+	3121	4885
Tb927.9.5260	Tb927_09_v5.1	925469	927200	+	1732	3959
Tb927.9.5300	Tb927_09_v5.1	927626	929332	+	1707	2047
Tb927.9.5320	Tb927_09_v5.1	929777	931739	+	1963	5684
Tb927.9.5330	Tb927_09_v5.1	932215	933693	+	1479	2076
Tb927.9.5350	Tb927_09_v5.1	933878	935228	+	1351	1518
Tb927.9.5370	Tb927_09_v5.1	935577	936709	+	1133	1635
Tb927.9.5380	Tb927_09_v5.1	936804	939901	+	3098	4583
Tb927.9.5390	Tb927_09_v5.1	939935	940609	+	675	884
Tb927.9.5410	Tb927_09_v5.1	942074	943478	+	1405	2156
Tb927.9.5440	Tb927_09_v5.1	943621	945152	+	1532	1929
Tb927.9.5460	Tb927_09_v5.1	945353	948671	+	3319	4438
Tb927.9.5490	Tb927_09_v5.1	950724	953137	+	2414	4615
Tb9.NT.32	Tb927_09_v5.1	953827	954154	+	328	203
Tb927.9.5520	Tb927_09_v5.1	954286	958411	+	4126	3146
Tb927.9.5590	Tb927_09_v5.1	960739	964849	+	4111	4596
Tb927.9.5620	Tb927_09_v5.1	965573	969926	+	4354	5182
Tb927.9.5630	Tb927_09_v5.1	970089	971733	+	1645	1734
Tb927.9.5650	Tb927_09_v5.1	971855	972768	+	914	2419
