# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/1762.1.all.q/genomes/tb927_5/tb927_5.gtf" "-o" "/tmp/1762.1.all.q/B_sub_3/counts_CDS.txt" "/tmp/1762.1.all.q/B_sub_3/B_sub_3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/1762.1.all.q/B_sub_3/B_sub_3_sorted.bam
Tb927.4.1980	Tb927_04_v5.1	499917	502463	-	2547	1055
Tb927.4.1990	Tb927_04_v5.1	502727	504607	-	1881	996
Tb927.4.2000	Tb927_04_v5.1	505347	506771	-	1425	3365
Tb927.4.2010	Tb927_04_v5.1	507511	507792	-	282	2185
Tb927.4.2020	Tb927_04_v5.1	508176	509456	-	1281	2980
Tb927.4.2030	Tb927_04_v5.1	510453	511106	-	654	2648
Tb927.4.2040	Tb927_04_v5.1	512689	513261	-	573	4976
Tb927.4.2050	Tb927_04_v5.1	513717	514121	-	405	1213
Tb927.4.2060	Tb927_04_v5.1	514498	516258	-	1761	2455
Tb927.4.2070	Tb927_04_v5.1	517255	530622	-	13368	145
Tb927.4.2080	Tb927_04_v5.1	532617	535337	-	2721	5476
Tb927.4.2090	Tb927_04_v5.1	540510	541025	+	516	5
Tb927.4.2100	Tb927_04_v5.1	543683	544144	+	462	440
Tb927.4.2110	Tb927_04_v5.1	546879	547823	+	945	786
Tb927.4.2120	Tb927_04_v5.1	550541	551767	+	1227	3183
Tb927.4.2130	Tb927_04_v5.1	552094	553050	+	957	1922
Tb927.4.2140	Tb927_04_v5.1	553424	556426	+	3003	3773
Tb927.4.2150	Tb927_04_v5.1	557007	557531	+	525	1876
Tb927.4.2160	Tb927_04_v5.1	557910	558311	+	402	1301
Tb927.4.2170	Tb927_04_v5.1	559051	559446	+	396	808
Tb927.4.2180	Tb927_04_v5.1	560644	561093	+	450	19636
Tb927.4.2190	Tb927_04_v5.1	563596	565371	+	1776	2863
Tb927.4.2200	Tb927_04_v5.1	566453	571468	+	5016	1307
Tb927.4.2210	Tb927_04_v5.1	572177	572656	+	480	731
Tb927.4.2220	Tb927_04_v5.1	574676	576793	+	2118	865
Tb927.4.2230	Tb927_04_v5.1	579354	580883	+	1530	1573
Tb927.4.2240	Tb927_04_v5.1	581397	582569	+	1173	2492
Tb927.4.2250	Tb927_04_v5.1	583450	584451	+	1002	1915
Tb927.4.2260	Tb927_04_v5.1	585251	585799	+	549	2112
Tb927.4.2265	Tb927_04_v5.1	587499	588062	+	564	71
Tb927.4.2270	Tb927_04_v5.1	591904	592842	+	939	2397
Tb927.4.2280	Tb927_04_v5.1	593290	594438	+	1149	1589
Tb927.4.2290	Tb927_04_v5.1	595290	596948	+	1659	705
Tb927.4.2300	Tb927_04_v5.1	597749	599869	+	2121	693
Tb927.4.2310	Tb927_04_v5.1	601242	603245	+	2004	1129
Tb927.4.2320	Tb927_04_v5.1	604609	605043	+	435	1687
Tb927.4.2330	Tb927_04_v5.1	606108	606350	+	243	1570
Tb927.4.2340	Tb927_04_v5.1	606859	608397	+	1539	3067
Tb927.4.2350	Tb927_04_v5.1	608837	609799	+	963	2236
Tb927.4.2360	Tb927_04_v5.1	610194	611156	+	963	1889
Tb927.4.2370	Tb927_04_v5.1	611657	613375	+	1719	1560
Tb927.4.2380	Tb927_04_v5.1	613831	615705	+	1875	1535
Tb927.4.2390	Tb927_04_v5.1	616567	618795	+	2229	3962
Tb927.4.2400	Tb927_04_v5.1	619197	623600	+	4404	886
Tb927.4.2410	Tb927_04_v5.1	624605	628051	+	3447	360
Tb927.4.2420	Tb927_04_v5.1	630695	631117	+	423	1942
Tb927.4.2430	Tb927_04_v5.1	631854	633818	+	1965	975
Tb927.4.2440	Tb927_04_v5.1	634811	635965	+	1155	1589
Tb927.4.2450	Tb927_04_v5.1	636840	638081	+	1242	2868
Tb927.4.2460	Tb927_04_v5.1	639439	643299	+	3861	143
Tb927.4.2470	Tb927_04_v5.1	646319	650353	+	4035	1001
Tb927.4.2480	Tb927_04_v5.1	650725	652173	+	1449	937
Tb927.4.2490	Tb927_04_v5.1	652953	654305	+	1353	1309
Tb927.4.2500	Tb927_04_v5.1	655877	658903	+	3027	296
Tb927.4.2510	Tb927_04_v5.1	661909	666420	+	4512	657
Tb927.4.2520	Tb927_04_v5.1	666641	667375	+	735	1278
Tb927.4.2530	Tb927_04_v5.1	667858	668334	+	477	1186
Tb927.4.2540	Tb927_04_v5.1	670241	670477	+	237	1214
Tb927.4.2550	Tb927_04_v5.1	671279	672187	+	909	2615
Tb927.4.2560	Tb927_04_v5.1	672653	674572	+	1920	386
Tb927.4.2570	Tb927_04_v5.1	675687	677027	+	1341	911
Tb927.4.2580	Tb927_04_v5.1	677663	680683	+	3021	410
Tb927.4.2590	Tb927_04_v5.1	681468	683264	+	1797	129
Tb927.4.2600	Tb927_04_v5.1	687074	691960	+	4887	264
Tb927.4.2610	Tb927_04_v5.1	692201	692665	+	465	79
Tb927.4.2620	Tb927_04_v5.1	693278	694009	+	732	1043
Tb927.4.2630	Tb927_04_v5.1	694735	697266	+	2532	2390
Tb927.4.2640	Tb927_04_v5.1	697918	701742	+	3825	1029
Tb927.4.2650	Tb927_04_v5.1	702634	704262	+	1629	519
Tb927.4.2660	Tb927_04_v5.1	706596	706904	+	309	1018
Tb927.4.2670	Tb927_04_v5.1	707466	708134	+	669	1473
Tb927.4.2680	Tb927_04_v5.1	708788	710923	+	2136	1005
Tb927.4.2700	Tb927_04_v5.1	712839	714134	+	1296	2036
Tb927.4.2710	Tb927_04_v5.1	715143	715634	+	492	2378
Tb927.4.2720	Tb927_04_v5.1	716542	718761	+	2220	1774
Tb927.4.2730	Tb927_04_v5.1	719312	721723	+	2412	1092
Tb927.4.2740	Tb927_04_v5.1	723054	723506	+	453	3272
Tb927.4.2750	Tb927_04_v5.1	726421	727320	+	900	358
Tb927.4.2760	Tb927_04_v5.1	731459	733477	+	2019	3760
Tb927.4.2770	Tb927_04_v5.1	734314	735339	+	1026	3241
Tb927.4.2780	Tb927_04_v5.1	735980	738352	+	2373	1380
Tb927.4.2790	Tb927_04_v5.1	738781	740490	+	1710	583
Tb927.4.2800	Tb927_04_v5.1	741017	742477	+	1461	590
Tb927.4.2810	Tb927_04_v5.1	742780	743577	+	798	495
Tb927.4.2820	Tb927_04_v5.1	745474	748479	+	3006	1390
Tb927.4.2830	Tb927_04_v5.1	749453	750148	+	696	1430
Tb927.4.2840	Tb927_04_v5.1	750490	751239	+	750	2363
Tb927.4.2850	Tb927_04_v5.1	752534	754579	+	2046	2178
Tb927.4.2860	Tb927_04_v5.1	755227	756270	+	1044	2822
Tb927.4.2870	Tb927_04_v5.1	756688	757539	+	852	1685
Tb927.4.2880	Tb927_04_v5.1	758292	764504	+	6213	1141
Tb927.4.2890	Tb927_04_v5.1	765317	767212	+	1896	1534
Tb927.4.2900	Tb927_04_v5.1	768136	770892	+	2757	1538
Tb927.4.2910	Tb927_04_v5.1	771652	773406	+	1755	1096
Tb927.4.2920	Tb927_04_v5.1	774789	777689	+	2901	1817
Tb927.4.2930	Tb927_04_v5.1	778623	779438	+	816	4315
Tb927.4.2935	Tb927_04_v5.1	780149	780247	+	99	482
Tb927.4.2940	Tb927_04_v5.1	781173	782159	+	987	681
Tb927.4.2950	Tb927_04_v5.1	782476	785352	+	2877	312
Tb927.4.2960	Tb927_04_v5.1	786736	787101	+	366	856
Tb927.4.2970	Tb927_04_v5.1	788021	789028	+	1008	657
Tb927.4.2980	Tb927_04_v5.1	790014	790838	+	825	960
Tb927.4.2990	Tb927_04_v5.1	791219	795088	+	3870	475
Tb927.4.3000	Tb927_04_v5.1	795639	796943	+	1305	914
Tb927.4.3010	Tb927_04_v5.1	797540	798154	+	615	1489
Tb927.4.3020	Tb927_04_v5.1	798557	802879	+	4323	547
Tb927.4.3030	Tb927_04_v5.1	803315	804730	+	1416	560
Tb927.4.3040	Tb927_04_v5.1	805021	805638	+	618	472
Tb927.4.3050	Tb927_04_v5.1	809336	809800	+	465	469
Tb927.4.3060	Tb927_04_v5.1	810076	810522	+	447	525
Tb927.4.3070	Tb927_04_v5.1	812413	813759	+	1347	1450
Tb927.4.3080	Tb927_04_v5.1	814322	814819	+	498	1524
Tb927.4.3090	Tb927_04_v5.1	815515	816213	+	699	712
Tb927.4.3100	Tb927_04_v5.1	817233	818327	+	1095	1704
Tb927.4.3110	Tb927_04_v5.1	818647	819906	+	1260	1500
Tb927.4.3120	Tb927_04_v5.1	820474	823275	+	2802	638
Tb927.4.3130	Tb927_04_v5.1	824258	825085	+	828	1867
Tb927.4.3140	Tb927_04_v5.1	825953	827359	+	1407	3076
Tb927.4.3150	Tb927_04_v5.1	827846	828877	+	1032	1148
Tb927.4.3160	Tb927_04_v5.1	829752	833480	+	3729	499
Tb927.4.3170	Tb927_04_v5.1	835158	837848	+	2691	355
Tb927.4.3180	Tb927_04_v5.1	839374	840021	+	648	1762
Tb927.4.3190	Tb927_04_v5.1	840584	841246	+	663	3752
Tb927.4.3200	Tb927_04_v5.1	847180	848109	-	930	0
Tb927.4.3210	Tb927_04_v5.1	848255	849439	-	1185	0
Tb927.4.3220	Tb927_04_v5.1	849729	850658	-	930	0
Tb927.4.3230	Tb927_04_v5.1	850780	851970	-	1191	0
Tb927.4.3240	Tb927_04_v5.1	852260	853204	-	945	1
Tb927.4.3250	Tb927_04_v5.1	853338	854525	-	1188	1
Tb927.4.3260	Tb927_04_v5.1	854814	855740	-	927	0
Tb927.4.3270	Tb927_04_v5.1	855871	856980	-	1110	1
Tb927.4.3280	Tb927_04_v5.1	857093	858325	-	1233	8
Tb927.4.3290	Tb927_04_v5.1	858436	859716	-	1281	9
Tb927.4.3300	Tb927_04_v5.1	862494	864653	-	2160	2330
Tb927.4.3310	Tb927_04_v5.1	865213	867234	-	2022	2521
Tb927.4.3320	Tb927_04_v5.1	869336	870058	-	723	810
Tb927.4.3330	Tb927_04_v5.1	870948	871499	-	552	1174
Tb927.4.3340	Tb927_04_v5.1	872259	873569	-	1311	1123
Tb927.4.3350	Tb927_04_v5.1	874914	876167	-	1254	1770
Tb927.4.3360	Tb927_04_v5.1	876620	877954	-	1335	2210
Tb927.4.3370	Tb927_04_v5.1	878428	879345	-	918	2538
Tb927.4.3380	Tb927_04_v5.1	880014	883517	-	3504	2707
Tb927.4.3390	Tb927_04_v5.1	884011	886038	-	2028	2052
Tb927.4.3400	Tb927_04_v5.1	886658	888475	-	1818	1837
Tb927.4.3410	Tb927_04_v5.1	889449	891788	-	2340	523
Tb927.4.3420	Tb927_04_v5.1	892337	894148	-	1812	1173
Tb927.4.3430	Tb927_04_v5.1	894904	895233	-	330	3312
Tb927.4.3440	Tb927_04_v5.1	895875	897227	-	1353	1621
Tb927.4.3450	Tb927_04_v5.1	897938	898282	-	345	1760
Tb927.4.3460	Tb927_04_v5.1	898874	899377	-	504	3433
Tb927.4.3470	Tb927_04_v5.1	899833	901638	-	1806	1948
Tb927.4.3480	Tb927_04_v5.1	902579	903130	-	552	1270
Tb927.4.3490	Tb927_04_v5.1	903365	903799	-	435	4182
Tb927.4.3500	Tb927_04_v5.1	904574	905104	-	531	1204
Tb927.4.3510	Tb927_04_v5.1	905340	905774	-	435	7559
Tb927.4.3520	Tb927_04_v5.1	906430	906966	-	537	1646
Tb927.4.3530	Tb927_04_v5.1	907282	909546	-	2265	2561
Tb927.4.3540	Tb927_04_v5.1	910085	911224	-	1140	3468
Tb927.4.3550	Tb927_04_v5.1	911751	912419	-	669	13753
Tb927.4.3560	Tb927_04_v5.1	913574	914554	-	981	2016
Tb927.4.3570	Tb927_04_v5.1	915105	915785	-	681	5666
Tb927.4.3580	Tb927_04_v5.1	915966	916277	-	312	2754
Tb927.4.3590	Tb927_04_v5.1	917162	917842	-	681	7518
Tb927.4.3600	Tb927_04_v5.1	918023	918334	-	312	2798
Tb927.4.3610	Tb927_04_v5.1	918599	919228	-	630	2231
Tb927.4.3620	Tb927_04_v5.1	921728	922612	-	885	1324
Tb927.4.3630	Tb927_04_v5.1	923649	924533	-	885	2096
Tb927.4.3640	Tb927_04_v5.1	925570	926454	-	885	2044
Tb927.4.3650	Tb927_04_v5.1	926853	927362	-	510	3564
Tb927.4.3660	Tb927_04_v5.1	928224	929669	-	1446	2933
Tb927.4.3670	Tb927_04_v5.1	930042	931415	-	1374	1933
Tb927.4.3680	Tb927_04_v5.1	931755	932594	-	840	3463
Tb927.4.3690	Tb927_04_v5.1	932834	934153	-	1320	2381
Tb927.4.3700	Tb927_04_v5.1	934467	936983	-	2517	1222
Tb927.4.3710	Tb927_04_v5.1	937266	937775	-	510	1809
Tb927.4.3720	Tb927_04_v5.1	938073	938762	-	690	2175
Tb927.4.3730	Tb927_04_v5.1	938989	939501	-	513	3738
Tb927.4.3740	Tb927_04_v5.1	940044	945122	-	5079	3221
Tb927.4.3750	Tb927_04_v5.1	973266	977090	+	3825	487
Tb927.4.3760	Tb927_04_v5.1	981586	982791	-	1206	939
Tb927.4.3770	Tb927_04_v5.1	986612	988069	-	1458	322
Tb927.4.3780	Tb927_04_v5.1	989012	989419	-	408	1374
Tb927.4.3790	Tb927_04_v5.1	990552	991949	-	1398	3614
Tb927.4.3800	Tb927_04_v5.1	993461	994429	-	969	797
Tb927.4.3810	Tb927_04_v5.1	994756	998328	-	3573	1356
Tb927.4.3820	Tb927_04_v5.1	999703	1000983	-	1281	671
Tb927.4.3830	Tb927_04_v5.1	1001142	1001618	-	477	2279
Tb927.4.3840	Tb927_04_v5.1	1002060	1003799	-	1740	2781
Tb927.4.3850	Tb927_04_v5.1	1004733	1006094	-	1362	1195
Tb927.4.3860	Tb927_04_v5.1	1007267	1010965	-	3699	538
Tb927.4.3870	Tb927_04_v5.1	1012428	1016126	-	3699	521
Tb927.4.3880	Tb927_04_v5.1	1017589	1021293	-	3705	744
Tb927.4.3890	Tb927_04_v5.1	1023046	1026327	-	3282	871
Tb927.4.3900	Tb927_04_v5.1	1027107	1028303	-	1197	3550
Tb927.4.3910	Tb927_04_v5.1	1030060	1032423	-	2364	523
Tb927.4.3920	Tb927_04_v5.1	1033815	1037054	-	3240	902
Tb927.4.3930	Tb927_04_v5.1	1038210	1039571	-	1362	711
Tb927.4.3940	Tb927_04_v5.1	1040745	1043123	-	2379	1775
Tb927.4.3950	Tb927_04_v5.1	1045964	1048525	-	2562	894
Tb927.4.3960	Tb927_04_v5.1	1049445	1050098	-	654	1641
Tb927.4.3970	Tb927_04_v5.1	1054474	1055937	-	1464	21
Tb927.4.3980	Tb927_04_v5.1;Tb927_04_v5.1	1056599;1056599	1058059;1058086	-;-	1488	2257
Tb927.4.3990	Tb927_04_v5.1	1059789	1061243	-	1455	290
Tb927.4.4000	Tb927_04_v5.1	1063098	1064552	-	1455	275
Tb927.4.4010	Tb927_04_v5.1	1066412	1067866	-	1455	231
Tb927.4.4020	Tb927_04_v5.1	1069244	1070659	-	1416	2375
Tb927.4.4030	Tb927_04_v5.1	1071096	1072661	-	1566	1768
Tb927.4.4040	Tb927_04_v5.1	1073890	1074669	-	780	2421
Tb927.4.4050	Tb927_04_v5.1	1075383	1077434	-	2052	3288
Tb927.4.4060	Tb927_04_v5.1	1078313	1081144	-	2832	691
Tb927.4.4070	Tb927_04_v5.1	1082064	1083053	-	990	925
Tb927.4.4080	Tb927_04_v5.1	1083687	1084427	-	741	352
Tb927.4.4090	Tb927_04_v5.1	1084790	1085779	-	990	1119
Tb927.4.4100	Tb927_04_v5.1	1086027	1087646	-	1620	2071
Tb927.4.4110	Tb927_04_v5.1	1088379	1089917	-	1539	985
Tb927.4.4120	Tb927_04_v5.1	1090113	1090511	-	399	2275
Tb927.4.4130	Tb927_04_v5.1;Tb927_04_v5.1	1091295;1091295	1093865;1094078	-;-	2784	1365
Tb927.4.4140	Tb927_04_v5.1	1095185	1097173	-	1989	1111
Tb927.4.4150	Tb927_04_v5.1	1097801	1100605	-	2805	891
Tb927.4.4160	Tb927_04_v5.1	1101254	1103944	-	2691	1448
Tb927.4.4170	Tb927_04_v5.1	1104185	1105039	-	855	1683
Tb927.4.4180	Tb927_04_v5.1	1105995	1108493	-	2499	1386
Tb927.4.4190	Tb927_04_v5.1	1109840	1110313	-	474	1090
Tb927.4.4200	Tb927_04_v5.1	1110642	1111316	-	675	1932
Tb927.4.4210	Tb927_04_v5.1	1111900	1114533	-	2634	1676
Tb927.4.4220	Tb927_04_v5.1	1116457	1118148	-	1692	189
Tb927.4.4230	Tb927_04_v5.1	1121806	1124073	-	2268	111
Tb927.4.4240	Tb927_04_v5.1	1125479	1126471	-	993	702
Tb927.4.4250	Tb927_04_v5.1	1127829	1128983	-	1155	995
Tb927.4.4260	Tb927_04_v5.1	1130033	1131025	-	993	933
Tb927.4.4270	Tb927_04_v5.1	1132383	1133537	-	1155	1333
Tb927.4.4280	Tb927_04_v5.1	1134584	1135576	-	993	657
Tb927.4.4290	Tb927_04_v5.1	1136109	1137266	-	1158	1485
Tb927.4.4300	Tb927_04_v5.1	1137686	1139536	-	1851	985
Tb927.4.4310	Tb927_04_v5.1	1140138	1142009	-	1872	1589
Tb927.4.4320	Tb927_04_v5.1	1142458	1142808	-	351	897
Tb927.4.4330	Tb927_04_v5.1	1143480	1144232	-	753	595
Tb927.4.4340	Tb927_04_v5.1	1144667	1145764	-	1098	591
Tb927.4.4350	Tb927_04_v5.1	1146231	1146842	-	612	2547
Tb927.4.4360	Tb927_04_v5.1	1148067	1148999	-	933	1188
Tb927.4.4370	Tb927_04_v5.1;Tb927_04_v5.1	1151495;1151495	1153147;1153267	-;-	1773	444
Tb927.4.4380	Tb927_04_v5.1	1155027	1157507	-	2481	1495
Tb927.4.4390	Tb927_04_v5.1	1158483	1159037	-	555	755
Tb927.4.4400	Tb927_04_v5.1	1161944	1167154	-	5211	727
Tb927.4.4410	Tb927_04_v5.1	1168174	1171908	-	3735	973
Tb927.4.4420	Tb927_04_v5.1	1173039	1176752	-	3714	997
Tb927.4.4430	Tb927_04_v5.1	1177872	1181603	-	3732	1427
Tb927.4.4440	Tb927_04_v5.1	1182723	1186466	-	3744	1746
Tb927.4.4450	Tb927_04_v5.1	1187586	1191317	-	3732	1388
Tb927.4.4460	Tb927_04_v5.1	1191876	1195742	-	3867	956
Tb927.4.4470	Tb927_04_v5.1	1196301	1200116	-	3816	1345
Tb927.4.4480	Tb927_04_v5.1	1203924	1206767	-	2844	1052
Tb927.4.4490	Tb927_04_v5.1	1209090	1214369	-	5280	1046
Tb927.4.4500	Tb927_04_v5.1	1216621	1220133	-	3513	541
Tb927.4.4510	Tb927_04_v5.1	1223147	1227775	-	4629	252
Tb927.4.4520	Tb927_04_v5.1	1238955	1240469	-	1515	17
Tb927.4.4530	Tb927_04_v5.1	1243245	1246670	-	3426	1282
Tb927.4.4540	Tb927_04_v5.1	1247976	1248341	-	366	1402
Tb927.4.4550	Tb927_04_v5.1	1250242	1252713	-	2472	828
Tb927.4.4560	Tb927_04_v5.1	1255045	1258287	-	3243	2436
Tb927.4.4570	Tb927_04_v5.1	1259265	1261973	-	2709	1887
Tb927.4.4580	Tb927_04_v5.1	1264341	1267592	-	3252	727
Tb927.4.4590	Tb927_04_v5.1	1272178	1273860	-	1683	437
Tb927.4.4600	Tb927_04_v5.1	1274621	1275403	-	783	2368
Tb927.4.4610	Tb927_04_v5.1	1275707	1276666	-	960	3137
Tb927.4.4620	Tb927_04_v5.1	1277331	1277804	-	474	2180
Tb927.4.4630	Tb927_04_v5.1	1278007	1278372	-	366	2479
Tb927.4.4640	Tb927_04_v5.1	1278633	1279187	-	555	1678
Tb927.4.4650	Tb927_04_v5.1	1279421	1280230	-	810	3809
Tb927.4.4660	Tb927_04_v5.1	1280363	1280908	-	546	2815
Tb927.4.4670	Tb927_04_v5.1	1289622	1291073	-	1452	2111
Tb927.4.4680	Tb927_04_v5.1	1291353	1291889	-	537	2080
Tb927.4.4690	Tb927_04_v5.1	1292329	1293165	-	837	2654
Tb927.4.4700	Tb927_04_v5.1	1293878	1294687	-	810	3287
Tb927.4.4710	Tb927_04_v5.1	1295040	1298129	-	3090	1252
Tb927.4.4720	Tb927_04_v5.1	1298313	1299896	-	1584	1705
Tb927.4.4730	Tb927_04_v5.1	1300969	1302390	-	1422	5067
Tb927.4.4740	Tb927_04_v5.1	1303715	1304917	-	1203	1341
Tb927.4.4750	Tb927_04_v5.1	1305346	1306617	-	1272	2926
Tb927.4.4760	Tb927_04_v5.1	1306888	1309749	-	2862	2181
Tb927.4.4770	Tb927_04_v5.1	1310579	1311562	-	984	1109
Tb927.4.4780	Tb927_04_v5.1	1311843	1312388	-	546	405
Tb04.3I12.100	Tb927_04_v5.1	1312951	1313406	-	456	306
Tb927.4.4790	Tb927_04_v5.1	1313454	1314140	-	687	363
Tb927.4.4810	Tb927_04_v5.1	1315303	1315998	-	696	833
Tb927.4.4815	Tb927_04_v5.1	1316975	1317439	-	465	654
Tb927.4.4820	Tb927_04_v5.1	1319221	1320642	-	1422	414
Tb927.4.4830	Tb927_04_v5.1	1321321	1322673	-	1353	1396
Tb927.4.4840	Tb927_04_v5.1	1323210	1324631	-	1422	319
Tb927.4.4850	Tb927_04_v5.1	1325309	1326661	-	1353	1329
Tb927.4.4860	Tb927_04_v5.1	1327198	1328619	-	1422	1542
Tb927.4.4870	Tb927_04_v5.1	1329191	1330546	-	1356	2888
Tb927.4.4880	Tb927_04_v5.1	1332660	1335242	-	2583	1206
Tb927.4.4890	Tb927_04_v5.1	1337639	1339222	-	1584	1047
Tb927.4.4900	Tb927_04_v5.1	1341284	1342792	-	1509	660
Tb927.4.4910	Tb927_04_v5.1;Tb927_04_v5.1	1344111;1344111	1345313;1345523	-;-	1413	1693
Tb927.4.4920	Tb927_04_v5.1	1347200	1347976	-	777	992
Tb927.4.4930	Tb927_04_v5.1	1348450	1352787	-	4338	857
Tb927.4.4940	Tb927_04_v5.1	1356186	1358195	-	2010	568
Tb927.4.4950	Tb927_04_v5.1	1358626	1360338	-	1713	2083
Tb927.4.4960	Tb927_04_v5.1	1361466	1362869	-	1404	1094
Tb927.4.4970	Tb927_04_v5.1	1364481	1365464	-	984	1238
Tb927.4.4980	Tb927_04_v5.1	1365979	1366482	-	504	7861
Tb927.4.4990	Tb927_04_v5.1	1367305	1367520	-	216	2015
Tb927.4.5000	Tb927_04_v5.1	1367938	1370517	-	2580	1351
Tb927.4.5010	Tb927_04_v5.1	1372029	1373216	-	1188	2088
Tb927.4.5020	Tb927_04_v5.1	1373829	1379126	-	5298	1098
Tb927.4.5030	Tb927_04_v5.1	1380128	1381168	-	1041	1456
Tb927.4.5040	Tb927_04_v5.1	1382357	1384102	-	1746	1446
Tb927.4.5050	Tb927_04_v5.1	1384654	1386219	-	1566	2007
Tb927.4.5060	Tb927_04_v5.1	1387650	1388465	-	816	1126
Tb927.4.5070	Tb927_04_v5.1	1389310	1390647	-	1338	4669
Tb927.4.5080	Tb927_04_v5.1	1393458	1393847	-	390	2686
Tb927.4.5090	Tb927_04_v5.1	1395760	1396311	-	552	27
Tb927.4.5100	Tb927_04_v5.1	1396989	1398206	-	1218	416
Tb927.4.5110	Tb927_04_v5.1	1398840	1400039	-	1200	2714
Tb927.4.5120	Tb927_04_v5.1	1400822	1404958	-	4137	5257
Tb927.4.5130	Tb927_04_v5.1	1405978	1406775	-	798	1665
Tb927.4.5140	Tb927_04_v5.1	1408272	1409069	-	798	263
Tb927.4.5150	Tb927_04_v5.1	1409808	1410932	-	1125	941
Tb927.4.5160	Tb927_04_v5.1	1411913	1412737	-	825	983
Tb927.4.5170	Tb927_04_v5.1	1413205	1413846	-	642	1440
Tb927.4.5180	Tb927_04_v5.1	1414371	1416314	-	1944	716
Tb927.4.5190	Tb927_04_v5.1	1416711	1417160	-	450	1288
Tb927.4.5200	Tb927_04_v5.1	1418433	1420358	-	1926	2638
Tb927.4.5210	Tb927_04_v5.1	1420657	1420911	-	255	3612
Tb927.4.5220	Tb927_04_v5.1	1421559	1422521	-	963	2997
Tb927.4.5230	Tb927_04_v5.1	1422971	1423666	-	696	2513
Tb927.4.5240	Tb927_04_v5.1	1425330	1426478	-	1149	1938
Tb927.4.5250	Tb927_04_v5.1	1427035	1428237	-	1203	2723
Tb927.4.5260	Tb927_04_v5.1	1428794	1429996	-	1203	1684
Tb927.4.5270	Tb927_04_v5.1	1430553	1431755	-	1203	906
Tb927.4.5280	Tb927_04_v5.1	1432312	1433514	-	1203	1090
Tb927.4.5290	Tb927_04_v5.1	1434071	1435273	-	1203	1281
Tb927.4.5300	Tb927_04_v5.1	1435830	1436840	-	1011	1265
Tb927.4.5310	Tb927_04_v5.1	1441877	1443199	-	1323	371
Tb927.4.5320	Tb927_04_v5.1	1443966	1446632	-	2667	1229
Tb927.4.5330	Tb927_04_v5.1	1448490	1451141	-	2652	651
Tb927.4.5335	Tb927_04_v5.1	1452287	1452580	-	294	1403
Tb927.4.5340	Tb927_04_v5.1	1453048	1455555	-	2508	2833
Tb927.4.5350	Tb927_04_v5.1	1456393	1458429	-	2037	873
Tb04.24M18.150	Tb927_04_v5.1	1458621	1459109	-	489	357
Tb927.4.5360	Tb927_04_v5.1	1459247	1459777	-	531	157
Tb927.4.5370	Tb927_04_v5.1	1460070	1460420	-	351	2804
Tb927.4.5380	Tb927_04_v5.1	1460755	1465137	-	4383	3355
Tb927.4.5390	Tb927_04_v5.1	1465473	1466768	-	1296	1374
Tb927.4.5400	Tb927_04_v5.1	1477030	1478559	+	1530	122
Tb927.4.5410	Tb927_04_v5.1	1479780	1481306	+	1527	13
Tb927.4.5420	Tb927_04_v5.1	1482527	1484053	+	1527	15
Tb927.4.5430	Tb927_04_v5.1	1485239	1486768	+	1530	247
Tb927.4.5440	Tb927_04_v5.1	1488146	1488889	-	744	9
Tb927.4.5450	Tb927_04_v5.1	1490134	1491567	-	1434	0
Tb927.4.5460	Tb927_04_v5.1	1492813	1494327	-	1515	0
Tb927.4.5470	Tb927_04_v5.1	1496385	1497956	-	1572	0
Tb927.4.5480	Tb927_04_v5.1	1498235	1499119	-	885	0
Tb927.4.5490	Tb927_04_v5.1	1500251	1500568	-	318	0
Tb927.4.5500	Tb927_04_v5.1	1501217	1502767	-	1551	0
Tb927.4.5510	Tb927_04_v5.1	1504441	1505997	-	1557	1
Tb927.4.5520	Tb927_04_v5.1	1506174	1507271	-	1098	2
Tb927.4.5530	Tb927_04_v5.1	1508151	1509599	-	1449	0
Tb927.4.5540	Tb927_04_v5.1	1512175	1513254	-	1080	0
Tb927.4.5550	Tb927_04_v5.1	1514641	1514988	-	348	0
Tb927.4.5560	Tb927_04_v5.1	1515810	1517360	-	1551	0
Tb927.4.5570	Tb927_04_v5.1	1518960	1520384	-	1425	0
Tb927.4.5580	Tb927_04_v5.1	1521320	1522795	-	1476	3
Tb927.4.5590	Tb927_04_v5.1	1524947	1526398	-	1452	0
Tb927.4.5600	Tb927_04_v5.1	1527696	1529135	-	1440	0
Tb927.4.5610	Tb927_04_v5.1	1532088	1533755	-	1668	0
Tb927.4.5620	Tb927_04_v5.1	1535781	1537334	-	1554	0
Tb927.4.5630	Tb927_04_v5.1	1540313	1540702	-	390	0
Tb927.4.5640	Tb927_04_v5.1	1541469	1543073	-	1605	1
Tb927.4.5650	Tb927_04_v5.1	1545165	1546715	-	1551	1
Tb927.4.5660	Tb927_04_v5.1	1547066	1548172	-	1107	1
Tb927.4.5670	Tb927_04_v5.1	1549388	1549855	-	468	1
Tb927.4.5680	Tb927_04_v5.1	1556998	1558722	-	1725	1
Tb927.4.5690	Tb927_04_v5.1	1561587	1563140	-	1554	0
Tb927.4.5700	Tb927_04_v5.1	1564788	1566218	-	1431	0
